Elo_Diff,Elo_Surface_Diff,H2H_Advantage,Recent_Form_10_Diff,Age_Diff,Tournament_Titles_Diff_Dynamic,Grand_Titles_Diff_Dynamic,Round_Ordinal,Series_Ordinal,Court_Indoor,Best_of_5,Surface_Clay,Surface_Grass,Surface_Hard
32.54442657048958,44.41431749737785,0.0,-0.1666666666666666,4.0,0.0,0.0,3,5,0,1,0,0,1
-123.56870623481268,-105.56512159395356,0.0,-0.2333333333333334,-4.0,-1.0,0.0,3,5,0,1,0,0,1
0.7188283613309068,15.861875234809304,0.0,0.4,0.0,0.0,0.0,3,5,0,1,0,0,1
29.52059613630217,15.995261270324818,0.0,0.0833333333333333,-1.0,0.0,0.0,3,5,0,1,0,0,1
5.354477032967679,-0.1859822156088739,0.0,0.0,-2.0,0.0,0.0,3,5,0,1,0,0,1
44.50415510724815,-0.1738840081509352,0.0,0.0,-6.0,0.0,0.0,4,5,0,1,0,0,1
27.01300908302937,26.735187474856048,0.0,0.0833333333333333,9.0,0.0,0.0,4,5,0,1,0,0,1
25.268493204291644,60.20558631013614,0.0,0.25,-6.0,0.0,0.0,4,5,0,1,0,0,1
-22.38210682380054,16.568253620554287,0.0,0.0833333333333333,3.0,0.0,0.0,3,5,0,1,0,0,1
17.34241150368348,26.415631330884253,0.0,-0.1428571428571429,-6.0,0.0,0.0,4,5,0,1,0,0,1
-22.763469881146875,-0.1202731215739731,0.0,0.0,4.0,0.0,0.0,4,5,0,1,0,0,1
15.87998855586602,14.280952182129568,0.0,0.1428571428571429,-4.0,0.0,0.0,7,5,0,1,0,0,1
128.38283073458229,102.86774839171426,0.0,0.1666666666666666,2.0,0.0,0.0,6,5,0,1,0,0,1
0.0,14.818160449180825,0.0,0.0,7.0,0.0,0.0,2,5,0,1,0,0,1
45.86570899059984,0.0255304599279497,0.0,0.0,2.0,0.0,0.0,5,5,0,1,0,0,1
44.19697232813337,25.87484363777571,0.0,0.025,-1.0,0.0,0.0,5,5,0,1,0,0,1
31.20760616846269,14.437131837288234,0.0,0.0,-1.0,1.0,1.0,6,5,0,1,0,0,1
